country,variable,value,>=65,Total,proportion_over_65,deaths_per_million
Coted'Ivoire,Coted'Ivoire.JHU_ConfirmedDeaths.data,15.0,716715.0,25069229.0,0.028589431290447744,0.5983430922426852
Comoros,Comoros.JHU_ConfirmedDeaths.data,0.0,25028.0,832322.0,0.030070093064943616,0.0
Denmark,Denmark.JHU_ConfirmedDeaths.data,460.0,1147890.0,5793636.0,0.19812946481277044,79.39746300941239
Congo(Kinshasa),Congo(Kinshasa).JHU_ConfirmedDeaths.data,32.0,2537041.0,84068091.0,0.03017840621598033,0.380643828346239
Croatia,Croatia.JHU_ConfirmedDeaths.data,75.0,835777.0,4087843.0,0.20445428065608195,18.34708426913656
Djibouti,Djibouti.JHU_ConfirmedDeaths.data,2.0,43416.0,958920.0,0.04527593542735577,2.085679723021733
DominicanRepublic,DominicanRepublic.JHU_ConfirmedDeaths.data,313.0,752703.0,10627165.0,0.07082820300616392,29.452822083782458
EastAsia&Pacific(IDA&IBRDcountries),EastAsia&Pacific(IDA&IBRDcountries).JHU_ConfirmedDeaths.data,0.0,195280540.0,2056064424.0,0.09497783129776093,0.0
Ecuador,Ecuador.JHU_ConfirmedDeaths.data,1063.0,1222777.0,17084357.0,0.07157290145599275,62.220661860437595
Early-demographicdividend,Early-demographicdividend.JHU_ConfirmedDeaths.data,0.0,189028683.0,3249140605.0,0.058178055670816374,0.0
EastAsia&Pacific(excludinghighincome),EastAsia&Pacific(excludinghighincome).JHU_ConfirmedDeaths.data,0.0,197665493.0,2081651801.0,0.09495607906425269,0.0
ElSalvador,ElSalvador.JHU_ConfirmedDeaths.data,10.0,532093.0,6420744.0,0.08287092586155125,1.557451908999954
Egypt,Egypt.JHU_ConfirmedDeaths.data,406.0,5147337.0,98423595.0,0.05229779505615498,4.1250271339916
EastAsia&Pacific,EastAsia&Pacific.JHU_ConfirmedDeaths.data,0.0,250129513.0,2328220870.0,0.10743375605940686,0.0
Dominica,Dominica.JHU_ConfirmedDeaths.data,0.0,,71625.0,,0.0
Europe&CentralAsia(excludinghighincome),Europe&CentralAsia(excludinghighincome).JHU_ConfirmedDeaths.data,0.0,50109639.0,417797257.0,0.11993769264981077,0.0
Eritrea,Eritrea.JHU_ConfirmedDeaths.data,0.0,,,,
Eswatini,Eswatini.JHU_ConfirmedDeaths.data,1.0,45613.0,1136191.0,0.04014553891027125,0.88013370991321
Euroarea,Euroarea.JHU_ConfirmedDeaths.data,0.0,70408316.0,341783171.0,0.20600287543121892,0.0
EuropeanUnion,EuropeanUnion.JHU_ConfirmedDeaths.data,0.0,90085964.0,446786293.0,0.20163099318716118,0.0
EquatorialGuinea,EquatorialGuinea.JHU_ConfirmedDeaths.data,1.0,32173.0,1308974.0,0.02457879224491854,0.7639571145034202
Europe&CentralAsia(IDA&IBRDcountries),Europe&CentralAsia(IDA&IBRDcountries).JHU_ConfirmedDeaths.data,0.0,57598747.0,459865205.0,0.12525137012703538,0.0
Europe&CentralAsia,Europe&CentralAsia.JHU_ConfirmedDeaths.data,0.0,149843891.0,918793590.0,0.16308765388752874,0.0
Ethiopia,Ethiopia.JHU_ConfirmedDeaths.data,3.0,3824097.0,109224559.0,0.03501132927439881,0.027466350310464516
Estonia,Estonia.JHU_ConfirmedDeaths.data,52.0,259456.0,1321977.0,0.1962636263717145,39.33502625234781
Greece,Greece.JHU_ConfirmedDeaths.data,140.0,2323984.0,10731726.0,0.21655267754692956,13.04543183454367
Gabon,Gabon.JHU_ConfirmedDeaths.data,3.0,75529.0,2119275.0,0.03563907468355924,1.4155784407403476
Fragileandconflictaffectedsituations,Fragileandconflictaffectedsituations.JHU_ConfirmedDeaths.data,0.0,25099405.0,743958386.0,0.03373764644948837,0.0
Fiji,Fiji.JHU_ConfirmedDeaths.data,0.0,48147.0,883483.0,0.05449680412639519,0.0
Gambia,Gambia.JHU_ConfirmedDeaths.data,1.0,59054.0,2280102.0,0.025899718521364395,0.43857687068385537
Finland,Finland.JHU_ConfirmedDeaths.data,218.0,1198015.0,5515525.0,0.21720779073614932,39.5247959169798
Ghana,Ghana.JHU_ConfirmedDeaths.data,17.0,913522.0,29767108.0,0.03068897388352271,0.5711001552451787
Georgia,Georgia.JHU_ConfirmedDeaths.data,7.0,553970.0,3726549.0,0.1486549620037198,1.8784135134141535
France,France.JHU_ConfirmedDeaths.data,24628.0,13418612.0,66977107.0,0.20034624666604367,367.7077303443399
Germany,Germany.JHU_ConfirmedDeaths.data,6736.0,17793207.0,82905782.0,0.21461961482975941,81.24885668408507
Haiti,Haiti.JHU_ConfirmedDeaths.data,8.0,550531.0,11123176.0,0.04949404738358901,0.7192190431941381
Guinea-Bissau,Guinea-Bissau.JHU_ConfirmedDeaths.data,1.0,52925.0,1874309.0,0.028237072969291618,0.5335299569067854
